base_candidate_overlap_ci_low_sem,base_candidate_overlap_mean,base_candidate_overlap_positive_frac,feature_id_overlap_ci_low_sem,feature_id_overlap_mean,feature_id_overlap_positive_frac,layer_pos_feature_overlap_ci_low_sem,layer_pos_feature_overlap_mean,layer_pos_feature_overlap_positive_frac,rows,stage6_prompt_family,topk,unique_samples
0.3382402658025699,0.36479496170317427,1.0,0.5307762893050052,0.568362951547936,1.0,0.3382402658025699,0.36479496170317427,1.0,36,A_step_visual,16,12
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36,A_step_visual,32,12
0.03765371775396995,0.07142857142857142,0.3888888888888889,0.10927654705246245,0.14814814814814814,0.75,0.03765371775396995,0.07142857142857142,0.3888888888888889,36,A_step_visual,4,12
0.13127650446380046,0.16091686091686092,0.9444444444444444,0.2830114011369327,0.3305100763434097,1.0,0.13127650446380046,0.16091686091686092,0.9444444444444444,36,A_step_visual,8,12
0.4743856210160744,0.5761768666116492,1.0,0.6254409953419442,0.7032829430726747,1.0,0.4743856210160744,0.5761768666116492,1.0,36,B_direct,16,12
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36,B_direct,32,12
0.22102263443939224,0.3703703703703704,0.5555555555555556,0.2892710395582018,0.42804232804232806,0.8055555555555556,0.22102263443939224,0.3703703703703704,0.5555555555555556,36,B_direct,4,12
0.2877052712133117,0.42490842490842495,0.8888888888888888,0.4361304797265693,0.5484319692653026,1.0,0.2877052712133117,0.42490842490842495,0.8888888888888888,36,B_direct,8,12
0.31327132515742323,0.34701172865424074,1.0,0.5123747696605768,0.5548104753051863,1.0,0.31327132515742323,0.34701172865424074,1.0,36,C_step_only,16,12
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36,C_step_only,32,12
0.06170082787187372,0.10264550264550264,0.5555555555555556,0.12160298280814771,0.17546296296296296,0.6944444444444444,0.06170082787187372,0.10264550264550264,0.5555555555555556,36,C_step_only,4,12
0.13655109397551243,0.16512931512931514,0.9722222222222222,0.25521158191763593,0.30298798423798423,0.9722222222222222,0.13655109397551243,0.16512931512931514,0.9722222222222222,36,C_step_only,8,12
0.32273407265791665,0.34896433679042377,1.0,0.5226429940241838,0.5587120849375752,1.0,0.32273407265791665,0.34896433679042377,1.0,36,D_visual_only,16,12
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36,D_visual_only,32,12
0.04978955320668116,0.08333333333333333,0.4722222222222222,0.10753386728383144,0.14854497354497354,0.6944444444444444,0.04978955320668116,0.08333333333333333,0.4722222222222222,36,D_visual_only,4,12
0.13122586323459995,0.1572853072853073,0.9722222222222222,0.26561814444580933,0.3122407684907685,0.9722222222222222,0.13122586323459995,0.1572853072853073,0.9722222222222222,36,D_visual_only,8,12
